cve,epss,percentile
CVE-2024-1816,0.00044
CVE-2024-1816,0.00044,0.14971
CVE-2024-1817,0.00075,0.35072
CVE-2024-1818,0.00082,0.37483
CVE-2024-1819,0.00082,0.37483
CVE-2024-1820,0.00073,0.34564
CVE-2024-1821,0.00081,0.37003
CVE-2024-1822,0.00125,0.48071
CVE-2024-1823,0.00060,0.27467
CVE-2024-1824,0.00075,0.35072,bad-stuff
CVE-2024-1825,0.00057,0.26626
CVE-2024-1826,0.00075,0.35072
CVE-2024-1827,0.00079,0.36650
CVE-2024-1828,0.00079,0.36650
CVE-2024-1829,0.00078,0.36082
CVE-2024-1830,0.00079,0.36650
CVE-2024-1831,0.00079,0.36650
CVE-2024-1832,0.00121,0.47386
CVE-2024-1833,0.00121,0.47386
CVE-2024-1834,0.00069,0.32578
CVE-2024-1839,0.00043,0.11449
CVE-2024-1840,0.00043,0.11449
CVE-2024-1841,0.00043,0.11449
CVE-2024-1842,0.00043,0.11449
CVE-2024-1843,0.00045,0.17807
CVE-2024-1844,0.00045,0.17807
CVE-2024-1845,0.00075,0.35354
CVE-2024-1846,0.00043,0.11449
CVE-2024-1847,0.00140,0.50585
CVE-2024-1848,0.00043,0.11449
CVE-2024-1849,0.00043,0.11449
CVE-2024-1850,0.00045,0.17807
CVE-2024-1851,0.00046,0.18465
CVE-2024-1852,0.00045,0.17807
CVE-2024-1853,0.00043,0.11449
CVE-2024-1854,0.00045,0.16154
CVE-2024-1855,0.00045,0.17807
CVE-2024-1856,0.00069,0.32584
CVE-2024-1857,0.00043,0.11449
CVE-2024-1858,0.00043,0.11449
CVE-2024-1859,0.00043,0.11449
CVE-2024-1860,0.00043,0.11449
CVE-2024-1861,0.00043,0.11449
CVE-2024-1862,0.00045,0.17807
CVE-2024-1863,0.00065,0.31194
CVE-2024-1867,0.00046,0.18643
CVE-2024-1868,0.00046,0.18643
CVE-2024-1869,0.00043,0.11449
CVE-2024-1870,0.00045,0.17807
CVE-2024-1871,0.00057,0.26527
CVE-2024-1872,0.00043,0.11449
CVE-2024-1873,0.00048,0.20072
CVE-2024-1874,0.00044,0.12415
CVE-2024-1875,0.00084,0.37967
CVE-2024-1876,0.00075,0.35072
